"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"159";16;0,106;0,136;6,37;5,733;0,014642221;0,235;0,0197;0,0107;0,000963;0,02065;NA;NA;NA;NA;NA;NA
"160";16;0,106;0,136;6,37;6,37;0,009485612;0,05;0,0016;8e-04;0,00016;0,01118;NA;NA;NA;NA;NA;NA
"161";17;0,131;0,165;8,33;0,833;0,139737713;15,5;0,6539;0,0649;0,017696;0,03195;13,33;6,67;3,2;1,3;0,496;0,28
"162";17;0,131;0,165;8,33;1,666;0,145785587;13,5;0,4797;0,2706;0,01487;0,027925;NA;NA;NA;NA;NA;NA
"163";17;0,131;0,165;8,33;2,499;0,131143366;13,5;0,4445;0,2474;0,017783;0,0227625;NA;NA;NA;NA;NA;NA
"164";17;0,131;0,165;8,33;3,332;0,087853323;9,5;0,2736;0,2273;0,010835;0,02495;NA;NA;NA;NA;NA;NA
"165";17;0,131;0,165;8,33;4,165;0,073211103;5;0,1283;0,0721;0,006275;0,018725;NA;NA;NA;NA;NA;NA
"166";17;0,131;0,165;8,33;4,998;0,061751974;4;0,1094;0,0621;0,004305;0,023025;NA;NA;NA;NA;NA;NA
"167";17;0,131;0,165;8,33;5,831;0,054430863;3;0,0589;0,0322;0,002946;0,0186125;NA;NA;NA;NA;NA;NA
"168";17;0,131;0,165;8,33;6,664;0,032467532;1,5;0,0405;0,0228;0,00169;0,020675;NA;NA;NA;NA;NA;NA
"169";17;0,131;0,165;8,33;7,497;0,01846193;1;0,019;0,0113;0,00094;0,0192375;NA;NA;NA;NA;NA;NA
"170";17;0,131;0,165;8,33;8,33;0,007002801;0,156;0,0066;0,0033;0,00035;0,0187375;NA;NA;NA;NA;NA;NA
"171";18;0,177;0,238;10,75;1,075;0,183027757;31;0,8953;0,35731;0,030415;0,0243125;28,62;14,31;3,1;1,6;0,512;0,15
"172";18;0,177;0,238;10,75;2,15;0,154698243;39;0,637;0,25971;0,025033;0,0237125;NA;NA;NA;NA;NA;NA
"173";18;0,177;0,238;10,75;3,225;0,128915202;18,5;0,4485;0,18283;0,017383;0,0219375;NA;NA;NA;NA;NA;NA
"174";18;0,177;0,238;10,75;4,3;0,116182837;18;0,3284;0,137;0,012785;0,0233375;NA;NA;NA;NA;NA;NA
"175";18;0,177;0,238;10,75;5,375;0,096129361;16;0,3061;0,1273;0,011835;0,0235;NA;NA;NA;NA;NA;NA
"176";18;0,177;0,238;10,75;6,45;0,080850522;8;0,2493;0,1081;0,006913;0,031675;NA;NA;NA;NA;NA;NA
"177";18;0,177;0,238;10,75;7,525;0,073211103;5,5;0,1;0,0432;0,004683;0,0191125;NA;NA;NA;NA;NA;NA
"178";18;0,177;0,238;10,75;8,6;0,056022409;5;0,1075;0,0418;0,0045;0,0225375;NA;NA;NA;NA;NA;NA
"179";18;0,177;0,238;10,75;9,675;0,030557678;2;0,0505;0,0193;0,002205;0,019275;NA;NA;NA;NA;NA;NA
"180";18;0,177;0,238;10,75;10,75;0,008785332;0,1096;0,011;0,0047;0,00044;0,0263;NA;NA;NA;NA;NA;NA
